epoch,phase,loss,accuracy,f1,recall,precision
1,train,0.46222375949908945,0.8753591775894165,0.8936561346054077,0.9370179772377014,0.8541300296783447
1,val,0.5742020004097073,0.7887930870056152,0.8132147192955017,0.8226221203804016,0.80402010679245
2,train,0.39415394853072605,0.8785919547080994,0.8965094685554504,0.9408740401268005,0.8561403751373291
2,val,0.5157545092462124,0.8031609058380127,0.8227684497833252,0.817480742931366,0.828125
3,train,0.3576293582974494,0.8821839094161987,0.8987029194831848,0.9350899457931519,0.8650416135787964
3,val,0.49541753256457977,0.8160919547080994,0.8387909531593323,0.8560411334037781,0.8222222328186035
4,train,0.30860271403330497,0.8965517282485962,0.9110012650489807,0.9473007917404175,0.8773809671401978
4,val,0.4741174852711031,0.7988505959510803,0.8157894611358643,0.7969151735305786,0.835579514503479
5,train,0.2893177995394016,0.8987069129943848,0.9122588634490967,0.9421593546867371,0.8841978311538696
5,val,0.4599147349938579,0.8132184147834778,0.832041323184967,0.8277634978294373,0.8363636136054993
6,train,0.27155680038120555,0.8987069129943848,0.911432147026062,0.932519257068634,0.8912776708602905
6,val,0.4547545601581705,0.8045976758003235,0.8181818127632141,0.7866324186325073,0.8523676991462708
7,train,0.2539581447497182,0.8969109058380127,0.9098334908485413,0.9305912852287292,0.8899815678596497
7,val,0.4439301956659076,0.8103448152542114,0.8253968358039856,0.8020565509796143,0.8501362204551697
8,train,0.24128403000790496,0.9091235399246216,0.9203149676322937,0.938946008682251,0.9024088978767395
8,val,0.43870132750478286,0.8117815852165222,0.8260292410850525,0.7994858622550964,0.8543956279754639
9,train,0.2316017155160849,0.9066091775894165,0.9171974658966064,0.9254498481750488,0.9090909361839294
9,val,0.43038855475940924,0.818965494632721,0.834645688533783,0.817480742931366,0.8525469303131104
10,train,0.21661567161309309,0.912715494632721,0.922636091709137,0.9312339425086975,0.9141955971717834
10,val,0.43035694305924166,0.8175287246704102,0.8322324752807617,0.8097686171531677,0.85597825050354
